first|n
dcblackout|6028
blacklivesmatter|2001
protests|1091
anonymous|1077
dc|786
georgefloyd|737
bunkerboy|522
vidasnegrasimportam|490
dcsafe|446
di|434
che|423
anonymus|408
washington|395
trump|393
fake|331
protesters|326
donaldtrump|303
usaonfire|293
people|290
whitehouse|286
white|280
bunkertrump|256
bunkerdon|255
junest|242
pride|239
dcprotests|215
pra|205
stay|205
safe|192
real|179
sta|177
tag|170
tá|167
black|166
blakelivesmatter|166
news|164
pridemonth|164
sono|160
protestors|159
police|156
stop|156
bots|154
justiceforgeorgefloyd|151
fucking|143
media|142
dcprotest|141
dont|139
pizzagate|137
riots|136
blackout|133
video|130
america|129
internet|129
gente|128
georgefloydprotests|127
ser|127
tweets|126
blm|122
casa|121
bot|120
vamos|119
mondaythoughts|118
si|116
spread|116
covid|115
nie|113
hashtag|112
happening|110
calar|109
sendo|109
pessoas|106
it’s|102
vidaspretasimportam|102
usa|101
